customer_id,age,city_tier,employment_type,monthly_income,has_credit_history,fico_score,acquisition_channel,loan_purpose,loan_amount,tenure_months,interest_rate,monthly_installment,grade,dti,installment_to_income,cash_flow_volatility,spending_shock,days_delinquent,partial_payment_ratio,default,clv_proxy
CUST00000,52,3,Self-Employed,50813.0,1,681.9706148258824,App Organic,Education,120753.0,24,23.57,6358.0,D,0.2946,0.1251,0.9674,0,78,0.2206,1,56922.964199999995
CUST00001,56,2,Salaried,37109.0,0,,Partnership,Education,64556.0,6,23.05,11494.0,D,0.4939,0.3097,0.8909,0,85,0.3953,1,7440.079000000001
CUST00002,57,3,Salaried,38907.0,1,605.6594164700522,Agent,Working Capital,76775.0,36,32.71,3374.0,F,0.3483,0.0867,0.1759,0,149,0.2799,1,75339.3075
CUST00003,34,3,Salaried,50710.0,1,580.9123013160308,Referral,Personal,132042.0,12,37.48,13363.0,G,0.4361,0.2635,0.8835,0,176,0.2003,1,49489.34159999999
CUST00004,47,1,Salaried,36412.0,0,,App Organic,Working Capital,44472.0,36,23.17,1725.0,D,0.4387,0.0474,0.2575,1,0,1.0,0,30912.487200000003
CUST00005,39,2,Informal,17806.0,1,667.9326113496556,App Organic,Education,5000.0,6,23.64,892.0,D,0.1869,0.0501,0.0525,0,126,0.627,1,591.0
CUST00006,51,2,Informal,25900.0,0,,App Organic,BNPL,121128.0,18,28.39,8342.0,E,0.578,0.3221,0.1201,0,179,0.087,1,51582.358799999995
CUST00007,29,2,Salaried,32563.0,1,673.9491743594334,Partnership,Medical,28585.0,3,23.05,9897.0,D,0.5792,0.3039,0.5164,0,108,0.3028,1,1647.2106250000002
CUST00008,37,3,Informal,15314.0,1,730.2509640043629,Referral,Education,63377.0,24,14.33,3053.0,B,0.268,0.1994,0.6238,0,0,1.0,0,18163.8482
CUST00009,39,3,Salaried,40389.0,0,,Agent,BNPL,93264.0,12,22.99,8773.0,D,0.4339,0.2172,0.025,0,0,1.0,0,21441.3936
CUST00010,24,3,Self-Employed,94845.0,0,,App Organic,BNPL,56513.0,36,22.86,2184.0,D,0.1986,0.023,0.7035,0,93,0.2739,1,38756.615399999995
CUST00011,31,3,Informal,21649.0,1,580.0,Partnership,Personal,118214.0,24,37.49,7074.0,G,0.5011,0.3268,0.0738,0,158,0.0176,1,88636.8572
CUST00012,42,2,Informal,24792.0,1,661.193280016362,Agent,Working Capital,181853.0,12,27.84,17535.0,E,0.9872,0.7073,0.6502,0,171,0.6067,1,50627.875199999995
CUST00013,24,2,Salaried,56522.0,0,,App Organic,Personal,42718.0,6,23.15,7608.0,D,0.3172,0.1346,0.0597,0,67,0.6278,1,4944.608499999999
CUST00014,37,3,Informal,23012.0,1,582.1906837680576,App Organic,Working Capital,80356.0,24,37.79,4821.0,G,0.5245,0.2095,0.2992,0,161,0.444,1,60733.0648
CUST00015,28,2,Salaried,52104.0,1,689.6528461236688,App Organic,Education,75200.0,3,22.43,26009.0,D,0.5985,0.4992,0.884,0,0,1.0,0,4216.84
CUST00016,54,1,Informal,20192.0,0,,App Organic,BNPL,87512.0,12,28.06,8448.0,E,0.5249,0.4184,0.9601,0,65,0.1697,1,24555.867199999997
CUST00017,31,2,Self-Employed,11887.0,0,,Referral,Personal,50864.0,18,28.15,3497.0,E,0.4694,0.2942,0.0523,0,0,1.0,0,21477.323999999997
CUST00018,51,1,Informal,20147.0,0,,Referral,Education,48993.0,36,27.82,2022.0,E,0.2505,0.1003,0.8232,0,71,0.6728,1,40889.5578
CUST00019,31,2,Salaried,43375.0,1,689.6525762436668,App Organic,BNPL,49939.0,6,22.99,8890.0,D,0.3388,0.205,0.6007,0,0,1.0,0,5740.48805
CUST00020,41,2,Self-Employed,47818.0,1,730.5894403949897,Referral,BNPL,56541.0,36,12.73,1898.0,B,0.0559,0.0397,0.9345,1,0,1.0,0,21593.007899999997
CUST00021,50,1,Self-Employed,36725.0,0,,App Organic,Working Capital,57174.0,18,23.37,3796.0,D,0.3866,0.1034,0.3879,0,0,1.0,0,20042.3457
CUST00022,30,3,Self-Employed,51737.0,1,699.7849627307785,App Organic,Working Capital,5000.0,6,23.14,890.0,D,0.2464,0.0172,0.6855,0,83,0.3412,1,578.5
CUST00023,46,3,Self-Employed,54919.0,1,788.8257430253195,App Organic,Personal,78545.0,3,11.71,26694.0,A,0.7272,0.4861,0.0846,0,66,0.0013,1,2299.404875
CUST00024,47,3,Student,5000.0,0,,Referral,Working Capital,62952.0,18,27.89,4320.0,E,1.0,0.864,0.3029,1,31,0.6596,1,26335.9692
CUST00025,28,2,Informal,15397.0,0,,Agent,Personal,46262.0,6,28.37,8361.0,E,0.787,0.543,0.4645,1,176,0.2755,1,6562.264700000001
